domain_id,domain_name,scope
D00,Repository metadata & explanatory docs,"Project-level documentation, licensing, published explanations, and audit context rather than an executable algorithm stage."
D01,Request pipeline & orchestration,"Home Mixer request assembly, generic candidate-pipeline stages, hydration, service integration, and feed-request execution."
D02,In-network retrieval,"Recent content retrieval from accounts the viewer follows, principally Thunder."
D03,Out-of-network retrieval,"Phoenix retrieval, SimClusters candidate discovery, and related OON candidate generation."
D04,Retrieval index & admission,"Maintenance and eligibility of the candidate index queried by Phoenix retrieval, including RankAll and its Strato/event layer."
D05,Ranking & score construction,"Phoenix action prediction as used for ranking plus Home Mixer score combination, weights, boosts, penalties, and rank-affecting calculations."
D06,"Selection, reranking & diversity","Top-K selection, slate shaping, author/semantic diversity, and VMRanker/DPP reranking."
D07,Feed eligibility & non-VF filtering,"Request-path filters such as age, seen-state, social graph, duplicate/conversation, access, and other eligibility outside the central Visibility Filtering policy engine."
D08,"Blending, ads & non-post insertion","Feed blending and insertion/reordering of ads, recommendations, prompts, frames, and other non-ranked-post material."
D09,Content & media understanding,"Post/media classifiers and embeddings: Grox, media-model-proxy, CLIP, adult-content, pNSFW media, and their data/serving code."
D10,"Account behavior, credibility & reputation signals","Account-level behavioral models and graph-derived signals: Agatha, BDSM, UserCred V2, and related feature production."
D11,"Label production, rules & aggregation","Botmaker engine/rules, Scarecrow event labeling, and post-to-user safety-label aggregation."
D12,Visibility policy & safety filtering,"ALLOW/INTERSTITIAL/DROP policy evaluation, safety-label hydration, policy rules, and the Visibility Filtering client surface."
D13,Abuse enforcement & account actions,"Model-score-driven labeling, challenges, suspension/enforcement decisions, allowlists, and enforcement lifecycle."
D14,Transparency & user-facing reporting,"Under the Hood label transparency collection, aggregation, storage, and serving."
D15,"Model training, evaluation & artifact production","Training/evaluation pipelines and model artifact generation across ranking, retrieval, media, and account models."
D16,"Data models, storage & service integration","Schemas, IDLs, serialization, stores/caches, generic clients, service scaffolding, and integration plumbing supporting behavioral domains."
D17,"Configuration, experiments & runtime controls","Feature switches, checked-in defaults, thresholds, experiment IDs, configuration loading, and runtime control surfaces."
D18,"Observability, side effects & event recording","Metrics, logging, post-response side effects, event publication, tracing, and operational observability."
D19,"Build, packaging & reproducibility","Build manifests, packaging, dependency locks/notices, scripts, examples, benchmarks, and files needed to reproduce or understand runnable boundaries."
