path,specialist_pass,review_treatment,review_result,role,material_symbols_or_sections,active_callers_or_registration,feed_surface,config_or_reachability,failure_or_fallback,supporting_files_examined,open_questions,notes
home-mixer/ads/mod.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,AdsBlender trait definition + module re-exports; blend() wraps blend_inner() with stats recording,"trait AdsBlender { blend_inner, blend }",implemented by PartitionOrganicAdsBlender/SafeGapAdsBlender/TimeGapAdsBlender/FollowingAdBlender; called from BlenderSelector/FollowingBlenderSelector,ForYou;RankedFollowing;Following,n/a (trait definition),n/a,,,single-point call-through for stats recording (record_post_verdict_stats/record_ad_risk_stats) before every blend
home-mixer/ads/partition_organic_blender.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,default ad blender: groups safe posts into ad-slot triples subject to BSR-low/handle/keyword adjacency checks,PartitionOrganicAdsBlender::blend_inner; blend_impl; serving_limitation; SlotRejections,BlenderSelector::select (default match arm),ForYou;RankedFollowing,selected when AdsBlenderType param is unset or not safe_gap/time_gap,drops individual ads failing adjacency checks; drops ALL ads if placed_ads==0 (S02-F006),home-mixer/ads/util.rs,,"see S02-F005 (adjacency check coverage), S02-F006 (all-ads-dropped fallback)"
home-mixer/ads/safe_gap_blender.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,param-gated ad blender: places ads at spacing-nearest safe gaps via binary search; no ad-side adjacency checks,SafeGapAdsBlender::blend_inner; assign_ads_to_gaps; find_best_gap,"BlenderSelector::select (""safe_gap"" match arm)",ForYou;RankedFollowing,"selected when query.params.get(AdsBlenderType)==""safe_gap""",falls back to posts-only if ads empty or too few posts,home-mixer/ads/util.rs,,S02-F005: materially different adjacency-safety coverage than partition_organic/time_gap
home-mixer/ads/time_gap_blender.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"param-gated ad blender: dwell-time-based spacing plus minimum organic-post gap, same adjacency checks as partition_organic",TimeGapAdsBlender::blend_inner; TimeGapConfig; assemble_time_gap,"BlenderSelector::select (""time_gap"" match arm)",ForYou;RankedFollowing,"selected when query.params.get(AdsBlenderType)==""time_gap""; TimeGapConfig fields all query-param-sourced",drops ALL ads if placed_ads==0 (shares S02-F006 pattern),home-mixer/ads/util.rs,,
home-mixer/ads/following_ad_blender.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Following-surface ad blender: groups posts into conversation units, places ads only between whole units",FollowingAdBlender::blend_inner; blend_units; same_conversation_unit; blend_with_spacing,FollowingBlenderSelector::select (sole blender for this surface),Following,always used (not param-selected) on FollowingCandidatePipeline,"falls back to posts-only if ads empty, too few units, or spacing<1",home-mixer/ads/util.rs,,S02-F012: conversation-unit-aware placement distinct from all 3 For-You-family blenders
home-mixer/ads/util.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"shared ad-blending helpers: brand-safety-verdict/risk predicates, spacing computation, keyword tokenization/matching, stats emission",has_avoid; compute_spacing; should_drop_bsr_low; should_drop_handle; should_drop_keyword; tokenize_ad_keywords; posts_to_feed_items; interleave_and_finalize,"used by partition_organic_blender.rs, time_gap_blender.rs, ad_adjacent_served_filter.rs, safe_gap_blender.rs (partial)",ForYou;RankedFollowing,n/a (helper library),n/a,,,AdAdjacentServedFilter (a separate S02 file) reuses should_drop_bsr_low/should_drop_handle/should_drop_keyword from here
home-mixer/ads/tests/blender_comparison_test.rs,S02,TEST_EVIDENCE,TRIAGED,test suite exercising the corresponding ads blender's behavior,#[test] cases,"cfg(test) only, not part of production binary",ForYou;RankedFollowing;Following,n/a,n/a,corresponding blender implementation file (read directly and in full; this test file's assertions were not independently re-verified line-by-line),,"not independently opened as a separate file this pass; production behavior was established by reading the implementation directly (methodology invariant: tests support, don't replace, implementation evidence)"
home-mixer/ads/tests/following_ad_blender_tests.rs,S02,TEST_EVIDENCE,TRIAGED,test suite exercising the corresponding ads blender's behavior,#[test] cases,"cfg(test) only, not part of production binary",ForYou;RankedFollowing;Following,n/a,n/a,corresponding blender implementation file (read directly and in full; this test file's assertions were not independently re-verified line-by-line),,"not independently opened as a separate file this pass; production behavior was established by reading the implementation directly (methodology invariant: tests support, don't replace, implementation evidence)"
home-mixer/ads/tests/partition_organic_blender_tests.rs,S02,TEST_EVIDENCE,TRIAGED,test suite exercising the corresponding ads blender's behavior,#[test] cases,"cfg(test) only, not part of production binary",ForYou;RankedFollowing;Following,n/a,n/a,corresponding blender implementation file (read directly and in full; this test file's assertions were not independently re-verified line-by-line),,"not independently opened as a separate file this pass; production behavior was established by reading the implementation directly (methodology invariant: tests support, don't replace, implementation evidence)"
home-mixer/ads/tests/safe_gap_blender_tests.rs,S02,TEST_EVIDENCE,TRIAGED,test suite exercising the corresponding ads blender's behavior,#[test] cases,"cfg(test) only, not part of production binary",ForYou;RankedFollowing;Following,n/a,n/a,corresponding blender implementation file (read directly and in full; this test file's assertions were not independently re-verified line-by-line),,"not independently opened as a separate file this pass; production behavior was established by reading the implementation directly (methodology invariant: tests support, don't replace, implementation evidence)"
