surface,pipeline,stage,component,component_type,source_path,role,enable_or_gate,input,output_type,max_or_quota,ordering_or_spacing,dedup_or_filter_behavior,failure_behavior,external_dependency,runtime_config_boundary,downstream_pass,evidence_class,notes
ForYou,ForYouCandidatePipeline,pre-selection filter,PushToHomeDedupFilter,filter,home-mixer/filters/push_to_home_dedup_filter.rs,removes any organic FeedItem duplicating the pinned push-to-home post,gated on query.push_to_home_post_id.is_some(),FeedItem list (post/ad/wtf/prompt/pth/frame/survey mix),FeedItem list,n/a,n/a,removes post FeedItems whose tweet_id or retweeted_tweet_id equals push_to_home_post_id,none,none,checked-in,S02,DIRECT,pairs with BlenderSelector::pin_push_to_home which places the PTH post at index 0
ForYou,ForYouCandidatePipeline,selector,BlenderSelector,selector,home-mixer/selectors/blender_selector.rs,partitions FeedItems by type then blends posts+ads and inserts non-post content at fixed slots,always runs (the pipeline's sole selector),FeedItem list from all 7 sources,"SelectResult{selected,non_selected}",result_size() truncation happens at pipeline level after select,"blend first; then insert_prompts, insert_who_to_follow, pin_push_to_home, insert_frames, insert_feed_survey in that literal call order (S02-F003)",n/a,no fallibility at Selector trait level,none,AdsBlenderType param selects which of 3 ad blenders runs; checked-in call order otherwise,S02,DIRECT,does not renumber FeedItem.position after non-post insertion (S02-F004)
ForYou,ForYouCandidatePipeline,ad blending (default),PartitionOrganicAdsBlender,ads blender,home-mixer/ads/partition_organic_blender.rs,groups safe posts into ad-slot triples (above/ad/below) subject to adjacency checks,selected when AdsBlenderType param != safe_gap/time_gap (default fallback),posts+ads from partition_feed_items,Vec<FeedItem>,"actual_ads = min(ads.len(), spacing-derived max, safe_posts/2); truncates to RESULT_SIZE=35",ad slots spaced by compute_spacing(ads) derived from ad.insert_position deltas; filler posts distributed evenly between ad slots,n/a,drops individual ads failing BSR-low/handle/keyword checks; drops ALL ads if placed_ads==0 (S02-F006); never drops organic posts,none,checked-in constants (MIN_POSTS_FOR_ADS=5),S02,DIRECT,last item popped if it is an Ad (never end feed on an ad)
ForYou,ForYouCandidatePipeline,ad blending (param-gated),SafeGapAdsBlender,ads blender,home-mixer/ads/safe_gap_blender.rs,places ads into ideal-spacing-nearest safe gaps via binary search,"selected when query.params.get(AdsBlenderType)==""safe_gap""",posts+ads,Vec<FeedItem>,truncates to result_size (default RESULT_SIZE=35),ideal spacing computed from first ad's insert_position + compute_spacing,n/a,excludes MediumRisk-adjacent gaps only; does NOT run BSR-low/handle/keyword checks (S02-F005),none,param-gated (AdsBlenderType),S02,DIRECT,materially different adjacency-safety coverage than the other two blenders
ForYou,ForYouCandidatePipeline,ad blending (param-gated),TimeGapAdsBlender,ads blender,home-mixer/ads/time_gap_blender.rs,places ads based on predicted-dwell-time gaps plus a minimum organic-post gap,"selected when query.params.get(AdsBlenderType)==""time_gap""",posts+ads,Vec<FeedItem>,truncates to RESULT_SIZE=35,"dwell-time need computed from TimeGapConfig (t_sec/clamp_lo/clamp_hi/min_organic_gap, all query-param-sourced)",n/a,same BSR-low/handle/keyword checks as PartitionOrganicAdsBlender; drops all ads if placed_ads==0,none,all 4 TimeGapConfig fields are query.params.get(...) values,S02,DIRECT,shares fallback/never-drop-organic semantics with PartitionOrganicAdsBlender
ForYou,ForYouCandidatePipeline,non-post source,WhoToFollowSource,source,home-mixer/sources/who_to_follow_source.rs,fetches account recommendations and wraps as one WhoToFollowModule FeedItem,gated on EnableWhoToFollowModule param AND query.who_to_follow_eligible,ScoredPostsQuery,Vec<FeedItem> (0 or 1 item),truncates recommendations to MAX_WHO_TO_FOLLOW_USERS=3,"BlenderSelector inserts at index min(WHO_TO_FOLLOW_POSITION-1,len)=5 unless displaced by push-to-home",excludes users already served via WTF served_history entries (last 200),source error -> zero candidates (framework-level per-source isolation),xai_account_recommendations_mixer (external WTF service),EnableWhoToFollowModule + who_to_follow_eligible flag,S02,DIRECT,a third served_history consumer alongside PreviouslyServedPostsFilter and AdAdjacentServedFilter
ForYou,ForYouCandidatePipeline,non-post source,PromptsSource,source,home-mixer/sources/prompts_source.rs,fetches injectable prompt content,gated on EnablePrompts param,ScoredPostsQuery,Vec<FeedItem> (0..N Prompt items),no cap in this source; BlenderSelector stacks all at front via insert_prompts,each prompt gets FeedItem.position=PROMPTS_POSITION(0) regardless of stack index (S02-F004),n/a,source error -> zero candidates,xai_prompts_thrift injection service (external),EnablePrompts,S02,DIRECT,DisplayLocation differs Following vs default request type
ForYou,ForYouCandidatePipeline,non-post source,PushToHomeSource,source,home-mixer/sources/push_to_home_source.rs,fetches the focal push-notification tweet plus up to 3 top-replier facepile IDs,gated on query.push_to_home_post_id.is_some() (deep-link/push-tap request only),ScoredPostsQuery,Vec<FeedItem> (0 or 1 PushToHomePost),facepile capped at MAX_REPLIERS=3,BlenderSelector pins at literal index 0 via pin_push_to_home (after prompts/WTF already inserted -- S02-F003),n/a,reply-mixer facepile fetch fails open to empty facepile list (logged warning); TES lookup failure returns Err for the whole source,TES client + ReplyMixer client (both external),query-supplied push_to_home_post_id,S02,DIRECT,"only enabled by a specific request shape, not a general-request source"
ForYou,ForYouCandidatePipeline,non-post source,JetfuelFrameSource,source,home-mixer/sources/jetfuel_frame_source.rs,fetches sports-topic Jetfuel card content (not independently opened this pass; role from frames/plan.rs consumer + S01 TRIAGED note),gated on topic-request shape (frames::eligible requires EnableJetfuelFrames + query.topic_ids containing a known sports topic id),ScoredPostsQuery,Vec<FeedItem> (0..N Frame items),plan() caps to MAX_JETFUEL_FRAMES_PER_RESPONSE=8,"BlenderSelector's insert_frames delegates to frames::plan (pinned frames first by rank, then recurring frames at computed slots)",n/a,source error -> zero candidates,Strato client (external),EnableJetfuelFrames + per-timeline/per-frame param gates,S02,STRONG_INFERENCE,catalog.rs enumerates 4 topic timelines (soccer/NFL/MLB/baseball) each with pinned and/or recurring frame defs
ForYou,ForYouCandidatePipeline,non-post source,FeedSurveySource,source,home-mixer/sources/feed_survey_source.rs,emits a single empty-payload FeedSurvey marker,gated on EnableFeedSurvey param AND query.feed_survey_eligible,ScoredPostsQuery,Vec<FeedItem> (exactly 1 when enabled),1,"BlenderSelector inserts at min(FEED_SURVEY_POSITION-1,len)=11",n/a,none (trivial always-Ok source),none,EnableFeedSurvey + feed_survey_eligible flag,S02,DIRECT,client renders the actual survey UI from this marker; source carries no payload
