path,specialist_pass,review_treatment,review_result,role,material_symbols_or_sections,callers_or_registration,downstream_consumers,config_or_reachability,failure_or_fallback,supporting_files_examined,open_questions,notes
candidate-pipeline/candidate_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Core execution engine: defines PipelineStage, PipelineComponents, PipelineResult, PipelineQuery/PipelineCandidate traits, and the CandidatePipeline trait's execute()/execute_stages() default implementation -- the universal 10-step sequence every pipeline instance runs.","CandidatePipeline::execute_stages, hydrate_query, hydrate_dependent_query, fetch_candidates, hydrate/run_hydrators, filter/run_filters, score, select, run_side_effects","Implemented by all 6 home-mixer pipeline structs (PhoenixCandidatePipeline, ForYouCandidatePipeline, FollowingCandidatePipeline, RankedFollowingCandidatePipeline, ReverseChronPostsPipeline, PhoenixScoresPipeline).",Every home-mixer pipeline; S02/S05/S08 rely on its concurrency/ordering semantics.,Stage-level enable() filtering (`.filter(|c| c.enable(query))`) gates every component before it runs; disabled components simply never execute.,"Establishes the framework-wide failure model (S01-F004, S01-F005): hydrators/sources/scorers fail per-unit without failing the request; filters have no fallibility; side effects are tokio::spawn fire-and-forget with discarded results.","candidate-pipeline/{hydrator,scorer,filter,selector,source,side_effect,query_hydrator,pipeline_summary,util,lib}.rs",,"Single most important file in S01's scope; establishes execution order, concurrency, and failure semantics for the entire orchestration layer."
candidate-pipeline/filter.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Filter trait; filter() is a total FilterResult{kept,removed} partition -- no Result/fallibility at this layer.",see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Hydrator and CachedHydrator traits; default update_all is the source of the per-candidate silent-skip-on-Err semantics (S01-F004). CachedHydrator blanket-impls Hydrator with a cache-then-client-fetch pattern.,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/lib.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Crate root; declares the 9 core modules and the SPAN_LEVEL tracing constant (feature-gated verbosity).,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/pipeline_summary.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Task-local PipelineSummary/StageStats bookkeeping used for structured per-stage logging (total/enabled/latency/kept/removed counts).,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,QueryHydrator trait; run() wraps hydrate() with logging; Err is silently skipped by the engine's `if let Ok`.,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/scorer.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Scorer trait; default update_all mirrors Hydrator's silent-skip-on-Err semantics (S01-F004/F012).,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/selector.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Selector trait; default select() sorts by score() descending and splits at size() if Some; a pipeline can override select() entirely (e.g. BlenderSelector's interleaving).,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/side_effect.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,SideEffect trait; run() is a thin wrapper with no error transformation -- the caller (candidate_pipeline.rs's run_side_effects) discards all results.,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
candidate-pipeline/source.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Source trait; run() wraps source() with logging/stats, returns Result<Vec<C>,String> whose Err becomes zero candidates via the engine's flatten() (S01-F004).",see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
